countrycode;countryname;year;GDP(current $USD)
FRA;France;2015;2439188643162.5
GBR;United Kingdom;2015;2934857946213.47
IDN;Indonesia;2015;860854235065.079
IND;India;2015;2103587813812.75
IRN;Iran, Islamic Rep;2015;408212918053.939
ITA;Italy;2015;1836637711060.55
JPN;Japan;2015;4444930651964.18
KOR;Korea, Rep;2015;1465773245547.15
MEX;Mexico;2015;1171867608197.72
MYS;Malaysia;2015;301354756113.174
NLD;Netherlands;2015;765572770634.375
PHL;Philippines;2015;306446140628.709
RUS;Russian Federation;2015;1363481063446.77
SAU;Saudi Arabia;2015;654269739552.019
SGP;Singapore;2015;308004146057.608
THA;Thailand;2015;401296437424.995
TUR;Turkey;2015;864316670330.882
USA;United States;2015;18206020741000.0
VNM;Vietnam;2015;239258340825.533
ZAF;South Africa;2015;346709790458.563
ARE;United Arab Emirates;2016;369255326235.771
ARG;Argentina;2016;557531376217.967
AUS;Australia;2016;1206535157956.03
BRA;Brazil;2016;1795700168991.49
CAN;Canada;2016;1527994741907.43
CHE;Switzerland;2016;687895460902.713
CHN;China;2016;11233276536737.2
DEU;Germany;2016;3469853463945.53
EGY;Egypt, Arab Rep;2016;332441717791.411
ESP;Spain;2016;1233554967011.68
FRA;France;2016;2472964344587.17
GBR;United Kingdom;2016;2699659680997.2
IDN;Indonesia;2016;931877364177.742
IND;India;2016;2294797980509.01
IRN;Iran, Islamic Rep;2016;457954614142.539
ITA;Italy;2016;1877071687633.78
JPN;Japan;2016;5003677627544.24
KOR;Korea, Rep;2016;1500111596236.37
MEX;Mexico;2016;1078490651625.31
MYS;Malaysia;2016;301255454041.415
NLD;Netherlands;2016;784060430240.08
PHL;Philippines;2016;318626761492.867
RUS;Russian Federation;2016;1276786979221.81
SAU;Saudi Arabia;2016;644935682011.475
SGP;Singapore;2016;318832428519.725
THA;Thailand;2016;413366150655.591
TUR;Turkey;2016;869692960365.551
USA;United States;2016;18695110842000.0
VNM;Vietnam;2016;257096001564.769
ZAF;South Africa;2016;323585509674.481
ARE;United Arab Emirates;2017;390516804016.501
ARG;Argentina;2017;643628665302.155
AUS;Australia;2017;1326516328531.56
BRA;Brazil;2017;2063507864886.88
CAN;Canada;2017;1649265644244.09
CHE;Switzerland;2017;695200833086.499
CHN;China;2017;12310409370892.8
DEU;Germany;2017;3690849152517.65
EGY;Egypt, Arab Rep;2017;235733695652.174
ESP;Spain;2017;1313245330197.65
FRA;France;2017;2595151045197.65
GBR;United Kingdom;2017;2683399006715.79
IDN;Indonesia;2017;1015618742565.81
IND;India;2017;2651472946375.05
IRN;Iran, Islamic Rep;2017;486630146443.617
ITA;Italy;2017;1961796197354.36
JPN;Japan;2017;4930837369151.42
KOR;Korea, Rep;2017;1623901496835.79
MEX;Mexico;2017;1158913035796.37
MYS;Malaysia;2017;319112175611.571
NLD;Netherlands;2017;833869641687.06
PHL;Philippines;2017;328480867142.69
RUS;Russian Federation;2017;1574199387070.9
SAU;Saudi Arabia;2017;688586094412.68
SGP;Singapore;2017;343193352161.634
THA;Thailand;2017;456356961443.497
TUR;Turkey;2017;858996263095.858
USA;United States;2017;19477336549000.0
VNM;Vietnam;2017;281353625688.004
ZAF;South Africa;2017;381448814653.456
ARE;United Arab Emirates;2018;427049432149.345
ARG;Argentina;2018;524819742918.669
AUS;Australia;2018;1428288504767.07
BRA;Brazil;2018;1916947014067.55
CAN;Canada;2018;1725329192783.02
CHE;Switzerland;2018;725568717468.001
CHN;China;2018;13894817549374.2
DEU;Germany;2018;3974443355019.6
EGY;Egypt, Arab Rep;2018;249712999437.254
ESP;Spain;2018;1421702715218.04
FRA;France;2018;2790956878746.66
GBR;United Kingdom;2018;2878152147315.82
IDN;Indonesia;2018;1042271531011.99
IND;India;2018;2702929718960.46
IRN;Iran, Islamic Rep;2018;331682036227.963
ITA;Italy;2018;2091932426266.98
JPN;Japan;2018;5037835383110.97
KOR;Korea, Rep;2018;1724845615629.26
MEX;Mexico;2018;1222408203104.3
MYS;Malaysia;2018;358791603677.728
NLD;Netherlands;2018;914043438179.6072
PHL;Philippines;2018;346842094175.24
RUS;Russian Federation;2018;1657329646183.62
SAU;Saudi Arabia;2018;816578674529.141
SGP;Singapore;2018;376998146500.593
THA;Thailand;2018;506754616189.315
TUR;Turkey;2018;778471900960.981
USA;United States;2018;20533057312000.0
VNM;Vietnam;2018;310106472642.968
ZAF;South Africa;2018;404159690890.846
ARE;United Arab Emirates;2019;417989721734.494
ARG;Argentina;2019;447754609218.678
AUS;Australia;2019;1392227864397.08
BRA;Brazil;2019;1873274432754.47
CAN;Canada;2019;1742015045482.31
CHE;Switzerland;2019;721369112726.724
CHN;China;2019;14279937500606.5
DEU;Germany;2019;3888226035921.56
EGY;Egypt, Arab Rep;2019;303080865603.645
ESP;Spain;2019;1394320055129.41
FRA;France;2019;2728870246705.88
GBR;United Kingdom;2019;2857057847953.02
IDN;Indonesia;2019;1119099868265.25
IND;India;2019;2831552222519.99
IRN;Iran, Islamic Rep;2019;283746685180.338
ITA;Italy;2019;2011302198827.45
JPN;Japan;2019;5123318151510.62
KOR;Korea, Rep;2019;1651422932447.77
MEX;Mexico;2019;1269011767478.56
MYS;Malaysia;2019;365175135787.568
NLD;Netherlands;2019;910194347568.626
PHL;Philippines;2019;376823278560.849
RUS;Russian Federation;2019;1693113904262.89
SAU;Saudi Arabia;2019;803616264791.024
SGP;Singapore;2019;375472731271.075
THA;Thailand;2019;544081056184.697
TUR;Turkey;2019;759937390496.669
USA;United States;2019;21380976119000.0
VNM;Vietnam;2019;334365257436.758
ZAF;South Africa;2019;388531954110.604
ARE;United Arab Emirates;2020;349473015336.939
ARG;Argentina;2020;385540224628.292
AUS;Australia;2020;1326901059123.21
BRA;Brazil;2020;1448559976218.19
CAN;Canada;2020;1645423407568.36
CHE;Switzerland;2020;739913619797.445
CHN;China;2020;14687673892882.0
DEU;Germany;2020;3889668895299.62
EGY;Egypt, Arab Rep;2020;365252651278.852
ESP;Spain;2020;1276962685648.25
FRA;France;2020;2639008701648.26
GBR;United Kingdom;2020;2704609160088.15
IDN;Indonesia;2020;1058688935454.78
IND;India;2020;2667687951796.5
IRN;Iran, Islamic Rep;2020;239735571102.495
ITA;Italy;2020;1896755301518.14
JPN;Japan;2020;5040107754084.11
KOR;Korea, Rep;2020;1644312831906.17
MEX;Mexico;2020;1090515389749.41
MYS;Malaysia;2020;337337932675.152
NLD;Netherlands;2020;909793466661.481
PHL;Philippines;2020;361751116292.541
RUS;Russian Federation;2020;1489362488439.76
SAU;Saudi Arabia;2020;703367841222.555
SGP;Singapore;2020;345295933898.674
THA;Thailand;2020;499681757030.968
TUR;Turkey;2020;720289368333.191
USA;United States;2020;21060473613000.0
VNM;Vietnam;2020;346615750664.384
ZAF;South Africa;2020;337619680138.494
